Thijssen,Dekker,Khanna,Mkhatrishvili,Schlapp,Marijnen,Zou,Mynott,Ning,Schmidt,Spanjers,Market
-1.64,-0.58,-1.06,-0.58,-1.06,-0.57,-0.9,-0.81,-0.29,-0.11,-0.48,-0.52
0.79,-0.41,0.02,0.42,0.58,0.27,-0.26,-0.03,0.15,-0.2,0.31,0.36
2.53,1.44,0.33,2.85,1.74,2.48,1.45,1.41,0.12,1.74,1.45,1.22
-0.58,0.56,0.23,0.64,0.85,0.84,0.48,1.36,-0.81,0.77,0.78,0.51
-0.03,0.36,0.27,-0.44,0.1,0.42,0.47,0.11,0.26,0.46,0.46,0.03
1.58,-0.11,-0.03,-0.07,-0.31,-0.35,0.81,-0.17,0.36,0.03,-0.07,0.02
0.05,1.15,0.45,1.34,0.13,0.75,2.38,0.15,-0.32,0.81,0.79,0
2.15,0.94,1.78,1.65,0.24,0.86,1.71,1.38,1.18,0.78,0.99,0.91
-2.49,-0.77,0.4,-0.99,-0.39,-0.33,-0.86,0.77,0.29,-0.75,-0.14,-0.59
1.42,0.37,0.55,0.9,0.5,0.66,0.46,0.74,-0.67,0.78,0.85,0.01
-0.77,-0.49,-0.49,-1.09,-0.03,-0.68,0.22,-0.34,-0.65,-0.76,-0.52,-0.31
-0.09,0.53,0.13,-0.12,-0.39,-0.05,0.17,0.62,0.18,-0.24,0.13,-0.05
0.37,1.27,1.42,2.2,2.64,2.31,1.87,1.59,0.7,1.3,1.97,1.1
0.94,-0.3,1.24,0.84,0.42,0.33,0.86,0.23,-0.07,0.33,0.45,0.17
1.62,2.71,2.42,3.14,2.81,2.54,2.24,1.86,0.61,1.85,1.85,1.58
1.23,0.29,1.69,-0.48,0.58,-0.01,0.73,-0.39,-0.4,0.17,0.08,-0.05
0.72,0.5,0.62,0.23,1.02,0.44,-0.16,-0.03,0.54,0.58,0.04,0.16
0.39,0.89,0.71,0.26,0.34,0.48,-0.23,0.36,0.01,0.49,0.41,0.25
-0.08,0.06,0.07,0.65,0.45,0.1,0.52,-0.12,-0.26,-0.03,-0.05,0.15
-1.24,-0.08,-0.82,-1.64,-2.92,-1.52,-1.13,-0.73,-0.65,-0.62,-1.02,-0.75
2.51,0.44,1.03,1.64,1.07,1.17,1.63,1.31,0.18,0.82,1.17,0.75
0.05,0.31,0.64,-0.41,-0.92,-0.75,-0.82,-0.48,-0.23,0.09,-0.34,-0.09
-0.21,-0.41,-0.37,-0.46,-0.95,-0.55,-0.68,-1.15,-0.36,-0.36,-0.56,-0.5
1.81,1.58,1.63,1.18,1.38,1.64,2.17,1.87,1.36,1.04,1.37,1.27
1.27,-0.08,0.32,-0.01,0.59,0.03,0.13,0.21,-0.07,0.67,0.08,0.16
1.38,-1.1,-0.2,-0.82,0.48,-0.56,-0.49,-1.42,-0.03,-0.48,-0.8,-0.05
-0.62,0.31,-0.29,-1.64,-1.09,-0.93,-0.27,-0.51,-0.12,-0.36,-0.53,-0.39
0.71,0.67,1.19,2.32,0.77,0.78,0.15,0.91,0.67,1.04,1.19,0.56
0.82,0.25,-0.35,-1.02,-1.04,-0.35,-0.59,-0.71,0.18,-0.31,0.1,0.15
-0.33,0.15,-0.32,0.89,0.33,-0.16,-0.35,0.44,-0.29,0.26,-0.06,0.14
-1.07,0.4,0.48,0.08,-0.06,0.07,0.5,-0.15,-0.78,0.51,-0.13,0.28
-2.27,0.23,-0.49,-1.11,-1.52,-1.69,-1.49,-0.97,-0.11,-1.14,-1.39,-0.55
1.41,1.3,0.64,0.71,-0.48,0.29,0.62,0.76,-0.04,1.09,0.41,0.64
-1.88,-0.72,-0.91,-1.37,-2.28,-1.36,-1.38,-1.22,-0.3,-1.07,-1.06,-0.46
-1.38,-0.15,-0.43,0.06,-0.41,-1.03,-0.45,-0.29,0.53,0.52,0.02,-0.4
-2.71,-2.24,-1.4,-3,-1.06,-1.84,-2.78,-2.06,-0.95,-1.44,-1.59,-1.62
1.86,0.43,0.94,2.3,1.22,1.1,0.96,0.82,0.5,1.19,0.98,0.8
1.32,1.07,1.48,1.71,0.77,1.44,1.54,1.3,0.56,1.07,1.35,1.07
1.1,1.58,1.03,2.02,2.06,1.06,1.23,0.78,0.2,0.95,1.08,0.49
-1.44,0.54,0.15,0.51,-0.77,-0.23,0.83,-0.31,0.04,0.18,-0.31,-0.07
1.89,2.08,2.4,2.74,0.64,1.84,2.37,1.96,0.75,1.77,1.62,1.86
-1.68,-1.06,-0.97,-1.31,-0.74,-0.84,0.07,-0.84,-1.56,-0.28,-0.37,-0.23
0.57,0.17,0.6,1.74,0.91,0.86,0.73,1.73,0.28,0.43,0.76,0.67
1.8,-0.59,-0.7,-0.46,-1.21,0.04,0.62,-0.52,0.28,-0.23,0.14,0.06
1.1,0.32,0.76,0.12,1.19,0.7,0.47,0.46,-0.31,0.23,0.54,0.41
-2.2,-0.05,-0.72,-1.14,0.43,-0.71,-0.82,-1.19,-0.33,0.2,-0.59,-0.39
-0.56,0.68,0.28,0.72,-0.94,-0.05,0.29,0.32,-0.17,0.1,0.42,-0.1
-2.59,-0.14,-0.61,-1.31,-0.56,-0.96,-0.9,-1.38,-0.32,-0.12,-0.75,-0.74
2.28,0.12,0.45,0.43,0.47,1.17,0.68,0.82,0.48,0.18,0.71,0.39
0.43,1.1,2.32,1.78,1.19,1.42,1.63,1.5,0.91,1.86,1.6,1.45
-1.19,-0.27,-0.68,0.29,-0.33,-0.49,-0.53,-0.74,-0.08,-0.48,-0.39,-0.3
-1.71,-0.81,-0.44,-0.42,-0.18,-0.93,-0.82,-0.29,-0.69,-0.82,-0.66,-0.52
-0.76,-0.2,1.16,-0.72,-0.36,0.05,-0.53,-0.23,-0.05,-0.3,-0.17,-0.16
0.47,0.44,0.49,-0.55,0.23,-0.07,0.61,-0.17,0.09,-0.41,-0.17,0.28
1.2,0.55,1.18,0.9,0.36,0.73,1.05,0.74,0.7,0.94,0.84,0.77
-1.11,-0.1,-0.98,-1.18,2.46,-0.95,-0.56,-0.38,-0.1,-0.33,-0.79,-0.34
-2.19,-0.87,-1.34,-1.76,4.04,-1.61,-2.64,-1.24,-0.94,-1.15,-1.61,-1.11
-0.68,0.25,0.35,-0.94,2.56,-0.06,0.19,-0.24,-0.47,-0.06,-0.07,-0.03
-1.81,-0.82,-1.47,-1.27,-1.31,-1.9,-2.3,-2.1,-0.9,-1.22,-1.6,-1.21
-2.84,-2.75,-1.45,-3.04,-2.53,-2,-2.89,-2.24,-1.5,-2.17,-2.01,-1.85
0.58,1.83,0.91,1.6,2,1.78,0.78,2.09,0.19,1.61,1.5,0.85
2.83,1.37,0.94,2.56,0.91,1.72,2.56,2.26,0.47,0.94,1.21,1.44
-2.25,-0.04,-0.71,-1.5,-2.56,-1.57,-1.73,-1.04,-0.59,-0.59,-1.18,-1.25
-1.84,0.23,0.61,0.29,0.03,0.12,-0.13,0.6,0.7,0.46,0.14,-0.09
1.33,1.27,1.29,1.54,2.39,1.63,1.18,1.36,0.93,1.16,1.21,1.55
-1.56,-0.52,-0.45,-0.63,-0.77,-0.96,-0.53,-0.79,-0.57,-0.27,-0.74,-0.43
0.45,-0.78,-0.9,-1.12,-0.4,-0.45,-1.73,-0.88,-0.45,-0.63,-0.2,-0.57
-0.43,1.15,-0.07,1.03,0.39,-0.25,-0.18,0.64,1,0.31,0.63,0.11
-0.48,-1.7,-1.29,-1.91,-1.73,-1.49,-0.69,-1.33,-0.83,-0.83,-0.98,-0.95
0.98,-0.17,1.11,1.38,0.3,0.59,0.13,1.11,1.05,0.01,0.61,0.29
2.72,0.76,1.22,1.4,2.11,1.31,1.55,1.23,0.99,1.55,1.15,1.44
2.03,2.09,0.31,1.89,1.99,0.84,1.1,-0.33,0.73,0.84,0.35,0.75
0.13,-0.5,0.65,2.16,0.49,0.49,1.34,1.45,0.6,0.87,0.73,0.35
0.33,-0.31,-0.79,-1.17,-0.88,-0.93,-2.23,-0.74,0.21,-0.59,-0.68,-0.49
0.54,-0.66,0.28,-0.08,0,0.32,0.04,-0.05,0.16,0.07,-0.15,0.48
-1.73,1.67,-0.18,0.71,0.25,0.07,0.28,0.73,-0.66,0.9,0.39,-0.15
-2.83,-1.8,-1.06,-1.53,-0.22,-1.58,-1.43,-1.37,-0.68,-0.97,-1.35,-0.92
-2.61,-2.68,-1.32,-1.63,-2.37,-1.97,-1.85,-1.68,-0.4,-1.66,-1.55,-1.62
-0.31,-0.44,-0.2,0.39,0.07,-0.1,0.34,0.65,0.14,-0.34,0.33,0.04
-0.32,-1.48,-1.33,-0.82,-1.7,-0.46,-0.18,0.05,0.55,-0.73,-0.34,-0.41
-0.51,0.21,0.13,-0.55,-1.32,-0.64,-0.6,-1.04,-0.23,0.08,-0.45,-0.62
0.31,0.06,0.21,0.3,0.99,-0.45,0.02,0.12,1.05,0.61,0.18,0.29
-1.29,-0.32,-0.17,0.5,-0.85,-0.35,-1.71,-0.1,-0.2,-0.22,-0.31,-0.29
-2.74,-1.52,-1.02,-1.68,-2.63,-1.32,-1.65,-1.11,-0.54,-0.96,-1.18,-1.14
-3.01,-0.47,0,-0.68,-0.88,-0.7,-1.53,-0.16,-0.63,-0.08,-0.27,-0.52
-1.69,-0.54,-0.72,-1.05,-1.35,-1.23,-0.16,-0.69,-0.06,-0.37,-0.95,-0.44
-1.86,-2.14,-2.41,-3.78,-3.31,-2.09,-3.17,-2.86,-0.87,-2.37,-1.86,-1.64
-0.87,-0.48,-1.28,-0.78,-0.65,-1.31,-1.39,-0.95,-0.36,-0.33,-1.32,-0.8
4.45,2.31,1.06,1.96,2.18,2.28,2.48,2.63,0.72,1.75,1.84,1.69
-1.6,0.09,-0.16,0.27,0.04,-0.78,0.01,-0.47,0.3,-0.03,-0.55,0
1.26,0.56,0.53,1,1.13,0.43,1.12,0.9,-0.51,1.11,0.37,0.26
-1.06,0.79,-0.13,0.65,-0.3,-0.62,0.34,0.67,0.55,0.54,0.3,0.16
0.22,0.76,0.22,-0.18,-0.48,0.04,0.47,-0.3,0.03,0.4,0.16,-0.16
2.58,0.97,1.81,1.94,-0.15,1.88,1.72,1.29,0.61,1.09,0.83,1.14
-3.82,-1.84,-1.69,-2.78,-1.6,-1.36,-2.33,-1.78,-1.05,-1.41,-1.35,-1.47
-0.37,-0.06,0.34,-0.16,-1.21,-0.03,-0.27,0.47,0.75,0.23,-0.17,-0.23
-3.92,-3.64,-2.37,-3.95,-2.39,-3.21,-3.79,-3.12,-0.75,-2.65,-2.4,-2.6
-0.17,-0.1,-1.15,-1.5,-0.01,-0.28,-1.47,-0.91,0.25,0.33,0.1,-0.05
1.68,0.57,0.52,1.57,0.28,1.18,1.04,0.32,0.83,0.77,0.78,0.68
3.51,2.05,0.67,3.58,2.47,2.63,3.1,3.05,1.45,1.81,2.23,2.32
-0.03,-1.08,-0.2,0.18,0.34,-0.63,-0.56,-0.36,-0.03,-1.13,-0.24,-0.1
-0.52,1.45,1.45,1.44,1.56,0.52,1.49,1.17,0.5,0.93,0.9,0.85
-2.31,-1.92,-1.43,-2.81,-3.28,-1.76,-2.4,-1.71,-0.73,-1.89,-1.62,-1.41
1.61,0.78,0.56,1.49,1.73,1.89,1.14,0.96,0.41,1.01,0.74,1.16
-1.98,-2.25,-1.25,-1.22,-2.49,-1.11,-1.91,-0.74,-0.2,-1.66,-0.66,-0.77
2.26,0.95,0.48,2.12,1.14,0.33,0.54,1.27,0.75,1.58,1.08,1.04
2.58,1.46,0.68,0.98,0.14,0.98,1.46,0.32,0.35,1.01,1.28,1.07
-2.09,-0.23,1.78,1.24,0.92,0.41,-0.8,0.66,0.29,-0.1,0.19,0.21
2.38,1.44,1.18,2.18,2.88,1.47,2.6,2.06,0.43,1.25,1.39,1.09
-0.78,-0.35,0.01,-0.72,-0.5,0.08,-0.71,-0.09,-0.74,0.15,-0.04,-0.14
-5.18,-1.71,-1.78,-3.02,-2.81,-2.79,-2.95,-2.23,-1.28,-1.81,-1.72,-2.26
1.64,1.06,1.13,1.05,0.42,1.04,1.19,0.51,0.65,0.81,1.22,0.79
-3.05,-1.74,-1.06,-1.66,-2.37,-1.74,-2.24,-2.12,-0.51,-0.78,-1.11,-1.63
0.9,-0.39,-0.1,1.27,-0.2,-0.22,-0.64,0.24,0.35,0.67,0.25,0.52
3.16,0.51,0.52,2.19,0.8,1.32,0.06,0.85,1.26,0.06,1.07,0.92
0.68,-1.03,-0.7,0.11,-0.55,-0.49,1.58,-0.06,0.31,-0.12,-0.26,-0.24
4.01,2.56,3.37,3.11,4.48,3.06,2.96,3.39,0.77,2.64,2.45,2.55
0.2,0.14,0.49,1.59,-0.21,0.35,0.25,0.5,0.91,0.64,1.04,0.33
3.43,0.93,0.7,1.08,1.37,1.43,2.05,0.83,0.44,0.7,1.13,0.76
-1.15,1.27,1.03,0.43,0.55,0.12,0.21,0.12,-0.5,0.53,0.07,-0.36
-1.52,0.65,-0.83,-0.53,-1.44,-1.69,-1.74,-0.9,-0.34,-0.61,-0.77,-0.99
-0.4,-0.75,-0.37,-0.08,-0.41,-0.54,-0.91,-0.26,-0.16,-0.09,-0.2,-0.23
-2.81,-0.25,-1.37,-1.66,-1.49,-1.58,-1.53,-1.27,0.14,-0.15,-0.96,-0.84
0.86,-0.97,-0.08,-0.77,-1.18,-0.24,-0.62,-0.1,0.65,-0.79,-0.17,-0.09
-1.12,-0.01,-0.44,0.27,-0.67,-0.68,-0.82,-0.68,0.08,-0.65,-0.26,-0.5
1.99,1.58,1.1,1.4,0.5,0.78,1.46,2.12,1.37,1.25,1.2,1.62
-0.23,-1.57,-0.62,-0.65,-0.98,-0.79,-0.89,-0.89,-0.38,-0.59,-0.48,-0.31
1.18,-0.03,0.25,0.12,0.32,0.03,0.49,-0.14,0.29,0.15,0.21,0.67
0.54,1.41,0.91,0.04,0.2,1.55,1.12,0.54,0.32,0.4,0.45,0.71
0.47,1.69,0.76,-1.09,0.7,0.4,0.15,-0.37,-0.06,-0.13,-0.2,0.27
-0.33,-1.7,-1.04,-1.15,-1.69,-1.2,-1.75,-1.83,0.18,-1.51,-1.07,-1.06
-2.15,-1.8,-0.85,-0.9,-1.16,-1.44,-1.47,-1.37,-0.53,-1.47,-1.53,-1.02
-2.29,-0.63,-1.6,-1.93,-1.06,-1.49,-2.64,-1.39,-0.92,-0.81,-1.21,-0.99
-0.38,-0.44,0.65,-1.42,0.34,0.69,0.01,0.29,-0.24,-0.17,0.38,-0.01
1.63,2.83,0.11,1.45,1.37,1.37,1.55,1.67,1.05,0.84,0.38,1.53
2.36,2.39,1.77,1.63,1.91,2.5,3.26,3.22,1.3,1.87,1.98,1.96
0.32,-0.64,-0.72,-0.56,-0.39,-0.82,0.13,-0.35,0.4,0.04,-0.75,-0.13
-1.25,-1.12,-0.34,-1.74,0.02,0.08,0.03,0.12,-0.94,-0.47,-0.46,-0.47
-1.2,-2.52,-1.04,-1.73,-1.67,-1.17,-1.93,-2.37,-0.23,-1.46,-1.62,-0.5
-1.99,-0.14,-0.91,0.8,-0.33,-0.29,-1.32,0,-0.62,-0.76,-0.51,-0.69
3.1,2.6,1.97,3.04,3.04,2.28,2.62,2.54,1.53,1.78,1.82,1.99
1.39,1.28,0.79,0.72,0.13,0.91,1.87,0.52,0.14,0.47,0.87,0.34
2.16,2.17,0.78,1.46,0.72,1.08,2.6,0.72,-0.38,1.12,0.66,0.64
-0.51,-0.38,0.2,0.29,-0.56,-0.5,-0.17,-0.31,-0.17,0.12,-0.21,0.09
0.8,0.48,0.09,0.77,1.93,1,-0.4,-0.33,0.15,0.28,0.34,0.12
-0.81,-0.6,-0.77,-0.31,-1.11,0.08,0.52,-0.11,0.08,-0.37,-0.1,0.17
-0.96,-0.1,0.02,-0.07,-0.97,-0.18,0.09,-0.34,-0.39,-0.12,-0.16,-0.14
-0.25,-0.6,0.06,-0.52,1.48,-0.92,-0.59,0.06,0.1,-0.4,-0.61,-0.03
0.32,1.39,0.11,0.43,-0.38,0.76,1.01,0.82,0.01,0.44,0.72,0.27
1.44,0.54,1.3,2.31,0.76,1.46,1.37,0.89,0.17,0.85,0.87,0.75
0.52,1.18,1.45,0.68,0.63,0.73,1.32,0.65,0.11,0.65,0.79,0.27
-0.64,-1.11,-0.9,-0.86,-0.54,-0.16,-1.07,0,-0.03,-0.45,-0.34,-0.06
-0.26,0.56,-0.54,-0.31,-0.1,-0.22,-0.63,-0.05,-0.47,-0.13,-0.15,-0.31
-0.05,0.06,-0.63,0.54,-0.67,-0.56,-0.86,-0.64,-0.36,0.03,-0.37,0
-1.15,-1.42,-0.77,-0.52,-1.28,-0.46,-1.07,-0.98,-1.09,-0.84,-0.44,-0.78
0.37,0.68,0.85,0.99,0.81,0.24,-0.22,-0.21,0.52,0.42,0.42,0.61
-0.12,-0.11,0.34,-0.26,-0.2,-0.15,-0.55,-0.34,0.2,0.31,0.12,-0.06
0.59,0.79,0.84,0.25,0.13,0.44,0.52,-0.06,-0.05,0.63,0.33,0.01
-0.73,1.31,-0.2,0.04,-0.85,0.18,0.57,-0.04,0.07,0.68,0.56,0.15
-1.57,-0.55,-0.97,-1.25,-0.16,-1.28,-1.33,-0.93,-0.67,-0.35,-0.89,-0.8
0.75,0.54,0.34,1.03,0.19,0.73,1.27,0.43,-0.13,-0.1,0.47,0.52
-0.07,1.19,0.66,0.19,0.24,-0.01,0.8,0.02,0.86,0.7,0.68,0.08
0.19,-0.28,-0.87,-0.3,0.43,-0.43,-0.16,0.19,-0.35,0.12,0.07,-0.05
1.99,1.7,1.46,1.35,1.4,1.83,2.99,1.54,1.37,1.89,1.48,2.07
1.98,1.16,0.01,1.27,1.56,0.49,1.71,0.59,-0.26,0.42,0.27,0.45
0.05,0.38,-0.14,0.25,-0.74,-0.39,-0.79,0.17,-0.09,0.08,-0.24,-0.57
1.85,-0.37,0.41,0.89,0.02,0.45,0.45,0.76,-0.01,0.1,0.31,0.28
0.44,0.56,0.46,0.89,0.19,0.55,0.55,1,-0.31,0.58,0.71,0.27
2.31,0.75,1.2,2.06,1.16,0.65,0.98,0.49,1.28,0.94,1.23,1.56
2.59,0.77,1.98,1.23,1.04,1.2,2.18,-0.18,-0.3,0.42,0.8,0.54
-0.93,-0.28,-0.98,-1.29,-0.44,-0.59,-1.52,-0.78,-0.52,-0.7,-0.07,-0.42
-1.06,-0.98,-0.38,-0.32,0.2,-0.17,-0.4,-0.98,-0.1,-0.5,0.45,-0.15
-0.72,-0.1,0.22,0.53,-0.51,-0.12,0.29,0.7,0.03,0.6,0.25,0.18
-0.11,-0.43,-0.78,-0.27,0.44,-0.76,-0.96,-1.66,0.22,-0.46,-0.13,-0.13
0.42,-0.21,0.66,1.47,0.51,0.49,0.6,0.18,0.46,0.34,0.77,0.04
-1.07,-0.52,-0.95,-0.84,-0.59,-0.79,-0.12,0.21,0.88,-0.16,-0.35,-0.26
-1.82,-1.36,-1.03,-1.64,-1.71,-1.86,-2.98,-1.4,-0.41,-1.24,-1.08,-1.11
-1.48,-0.16,-0.84,-2.02,-0.84,-0.89,-0.27,-0.14,0.17,-0.39,-0.51,-0.57
2.08,1.11,1.54,1.56,1.07,1.18,0.71,0.79,-0.22,0.71,1.07,0.99
-0.4,-0.59,-0.2,-0.86,0.2,-0.67,-0.59,-1.03,0.08,-0.5,-0.27,-0.46
0.3,-0.21,0.13,1.01,2.25,-0.03,0.76,0.11,-0.19,0.23,0.13,0.26
-0.17,0.13,0.13,0.54,-0.53,-0.03,0.22,0.02,0.18,-0.57,-0.01,0.1
-1.98,-0.45,0.43,0.75,-1.17,-0.24,0.08,0.16,0.36,-0.04,0.4,0.36
1.05,0.93,0.59,0.65,1.02,0.54,1.51,0.79,0.69,0.55,0.66,0.76
-0.69,-0.62,0.59,0.21,-0.45,-0.08,0.48,-0.06,-0.05,-0.29,-0.34,-0.03
-0.53,-0.46,-0.26,-1.18,0.49,-0.74,-0.38,-0.23,-0.11,-0.13,-0.42,-0.36
0.55,-1.03,-2.17,-1.76,-0.69,-1.42,-1.84,-1.04,-0.24,-1.16,-1.56,-1.05
-1.43,0.24,-0.88,-0.58,-0.53,-0.94,-1.63,-0.33,-0.14,-0.13,-0.25,-0.58
1.02,1.02,0.23,0.14,0.95,0.45,0.08,0.05,0.17,0.22,0.52,0.11
-0.42,-0.65,-0.19,-0.34,-0.52,-0.68,-0.59,-0.01,-0.67,-0.41,-0.45,-0.34
-0.05,1.02,0.05,1.03,1.34,0.41,0.16,0.57,0.59,0.53,0.54,0.79
1.22,1.37,1.19,0.66,0.73,1.17,0.99,0.73,0.46,0.71,0.82,1
1.12,0.4,1.13,1.83,1.06,0.31,0.96,0.42,1.06,0.31,0.26,0.49
-0.46,0.05,1.66,0.31,0.34,-0.79,-0.72,-0.09,-0.13,-0.5,-0.94,-0.31
-1.95,-1.55,-1.09,-1.23,-2.32,-1.52,-1.98,-1.55,-1.03,-1.69,-1.92,-1.68
-1.36,-0.75,-0.73,-0.27,0.52,0.08,-0.1,-0.68,-0.43,-0.22,-0.14,0.01
-1.71,-0.19,-0.65,-0.77,-0.89,-0.48,-0.87,0.23,-0.78,-0.39,-0.55,-1.29
-1.35,-0.01,0.7,0.81,-0.57,-0.59,-0.93,-0.46,-0.21,-0.6,-0.15,-0.28
0.39,-0.86,-0.05,0.21,0.31,0.27,1.11,-0.4,0.53,0.02,0.12,0.27
-0.15,-0.69,-0.46,-0.77,1.03,0.09,-1.89,0.13,-0.1,-0.18,0.01,-0.07
0.28,1.93,1,1.94,0.05,0.39,1.47,1.24,0.48,0.72,0.27,0.14
0.86,2.35,1.16,1.97,1.54,1.59,3.19,0.94,-0.21,1.24,1,1.19
-2.09,-1.07,-0.53,-1.48,-1.64,-1.22,0.4,-0.89,-1.18,-0.53,-1.11,-1.04
0.92,1.12,1.1,1.54,0.72,1.07,0.07,0.46,-0.56,0.53,0.4,0.28
1.21,0.77,-0.91,0.98,1.17,0.78,0.63,1.42,0.7,0.87,0.45,0.8
-3.64,-2.16,-1.63,-1.81,-1.37,-2.64,-1,-2.99,-2.57,-2.07,-2.19,-2.31
-1.52,-2.3,-1.3,-1.57,-0.54,-1.42,-2.15,-0.94,-0.67,-2.01,-1.31,-1.24
0.41,-0.25,0.3,-0.04,0.43,0.14,0.42,-0.38,-0.48,-0.01,-0.06,0.15
-0.83,0.66,-1.12,-1.16,-0.59,-0.54,0,0.5,-0.75,-0.33,-0.2,0
-0.94,-0.49,-0.32,-0.63,-1.44,-0.96,-0.92,-0.62,0.12,-0.12,-0.58,-0.4
-1.39,-1.65,-1.52,-2.39,-1.16,-1.36,1.66,-2.51,-1.27,-1.03,-1.73,-1.4
-0.76,-0.19,-0.81,-1.16,0.91,-1.11,0.12,-1.04,-0.64,-0.43,-0.61,-0.24
0.63,0.57,0.11,1.35,1.2,-0.07,-0.18,0.12,1.03,-0.02,0.39,0.58
3.31,2.84,1.38,1.95,2.75,2.04,2,2.04,0.56,2.53,1.71,1.98
-0.36,0.48,0.53,1.89,-0.12,-0.13,0.57,0.24,0.22,0.19,-0.01,0.11
0.75,1.18,0.07,0.88,0.83,1.12,0.79,0.67,0.03,0.51,0.71,0.31
1.6,0.49,1.11,1.14,0.57,1.32,2.31,1.16,0.04,1.07,0.9,1.28
-0.56,0.22,0.1,0.43,1.32,0.55,-0.01,0.59,0.93,-0.34,0.32,-0.14
-1.34,1.05,-0.27,0.08,0.52,0.06,-0.03,0.05,0.19,-0.07,0.11,-0.43
0.85,1.53,0.92,-0.09,0.86,0.88,0.43,0.81,0.61,1.53,0.67,0.83
1.55,0.46,0.51,1.16,1.11,1.36,0.55,0.98,0.74,0.35,1.26,0.54
0.15,-1.03,0.01,0.13,-0.39,-0.07,0.21,0.18,0.57,-0.31,0.25,0.02
-0.57,-0.18,-0.47,-0.13,0.1,-0.13,-0.41,-0.87,-0.34,-0.38,-0.26,-0.46
-0.33,-0.84,0.25,0.21,0.9,0.21,0.08,0.37,-0.3,-0.26,-0.11,-0.16
1.62,-0.8,-1.16,-1,-0.95,0.14,-0.59,0,0.89,-0.46,-0.43,0.17
-0.49,0.18,0.01,0.22,-0.16,0.41,-0.12,0.12,-0.07,0.12,0.11,0.31
0.47,-0.21,0.06,0.17,0.14,0.23,0.07,0.43,-0.18,0.07,0.23,0.27
-0.32,-0.9,0.62,0.53,0.78,0.69,0.71,0.69,0.38,-0.06,0.38,0.11
0.15,1.09,0.22,1.4,0.04,1.31,0.96,0.71,0.34,0.41,1.18,0.68
0.01,-0.88,-0.69,0.14,0.1,-0.22,-0.01,-0.63,-0.47,-0.36,-0.09,-0.02
-0.89,-0.4,0.67,-0.52,-1.21,-0.44,-1.17,-0.3,-0.38,-0.23,-0.31,-0.58
-0.02,-0.49,-0.54,0.52,0.21,0.09,0.55,0.18,-0.27,0.02,0.04,-0.34
0.7,1.43,1.42,2.24,0.04,0.89,1.21,1.1,1.84,1.3,0.89,1.16
2.33,1.73,1.04,1.59,1.05,1.51,1.01,1.72,0.7,1,1.28,1.2
-0.4,-0.22,-0.08,-0.28,-0.5,0.1,-0.11,0.37,-0.58,0.13,0.01,-0.6
0.85,0.31,0.46,0.72,0.82,0.47,0.82,0.28,0.61,0.16,0.38,0.53
-0.36,-0.3,-0.52,-0.72,0.02,-0.79,-0.42,-0.23,-0.32,-0.79,-0.48,-0.88
-1.47,-0.11,-0.25,-0.1,-0.2,-0.28,0.33,-0.45,-0.51,-0.04,-0.4,-0.24
-0.3,-1.95,-0.68,-0.73,-1.25,-0.43,-0.95,-0.68,-1.07,-1.36,-0.57,-0.54
-0.61,0.63,0.01,-0.36,-0.03,-0.18,-0.1,-0.21,-0.26,-0.07,-0.35,-0.11
-1.34,-0.57,-0.05,-0.64,-0.21,-0.68,-0.34,-0.6,-0.6,-0.26,-0.56,-1
2.54,2.96,2.1,2.39,1.87,2.38,2.13,2.14,1.42,2.01,1.57,1.71
2.66,0.47,1.99,3.32,2.88,3.31,3.21,2.79,2.23,1.62,2.82,2.62
-0.22,1.07,0.43,-0.08,0.37,-0.1,0.79,0.15,-0.2,0.41,0.18,-0.14
1.66,0.89,0.23,0.73,0.36,0.69,0.94,1.21,0.55,0.78,0.91,0.55
-0.31,-0.81,-0.22,0.04,-0.51,-0.21,-0.9,-0.38,-1.19,-0.55,-0.03,-0.31
0.11,0.03,0.18,0.19,-0.19,-0.58,-0.77,0.06,-0.22,-0.08,0.03,-0.27
-0.45,-0.14,1.11,0.45,0.8,0.86,0.73,0.68,0.05,0.15,0.55,0.34
0.91,0.41,0.89,0.41,-0.23,0.13,0.32,0.41,0.4,0.28,0.21,0.66
-0.16,0.18,0.67,0.15,-0.25,0.3,0.09,-0.25,0.24,0.17,0.31,0.02
0.25,0.9,0.19,-0.45,0.36,-0.06,0.34,-0.05,0.11,-0.08,0,-0.06
0.24,0.58,0.34,0.7,0.4,0.11,0.52,0.53,0.2,0.66,0.2,0.19
-0.37,0.19,0.02,-0.12,-0.46,-0.1,-1.05,-0.25,-0.55,0.11,-0.39,-0.04
0.9,1.56,1.17,1.75,0.97,0.9,1.59,1.02,0.59,0.57,0.66,0.61
0.54,0,0.11,0.47,0.92,0.25,-0.03,0.32,0.59,0.42,0.1,0.29
1.36,0.31,0.73,1.03,0.56,0.5,0.48,1.1,1.02,0.43,0.53,0.48
-0.33,-0.64,0.1,0.32,-0.72,-0.03,-0.55,-0.11,-0.35,-0.42,-0.12,0.1
-0.14,0.68,0.88,-0.04,0.55,0.53,1.47,1.58,0.2,0.39,0.45,0.09
0.45,0.81,-0.09,1.09,0.31,0.67,1.09,0.56,0.2,0.61,0.35,0.59
0,0.47,0.65,-0.7,1.9,0.22,0.4,0.11,0.21,-0.27,0.2,-0.14
0.85,0.4,0.18,1.18,-0.47,-0.29,-0.41,0.01,0.88,0.14,0.02,0.36
